Orange         , Paris       , 5559
SFR            , Paris       , 12746
SiriusHD       , Paris       , 10676
Naitways       , Paris       , 16476
fdcservers.net , Paris       , 6027
CCleaner       , Paris       , 16676
HarryLafranc   , Paris       , 10176
Interoute VDC  , Paris       , 10265
Cloudwatt      , Paris       , 5582
Télécom Paris  , Paris       , 11977
Extragornax    , Paris       , 22902
Host-Heberg    , Paris       , 22086
Stella Telecom , Courbevoie  , 14821
Ozone          , Courbevoie  , 11644
Scaleway/Online, Vitry/Seine , 5022
TestDebit.info , Massy       , 2231
Orange         , Lyon        , 4273
LaFibre.info   , Lyon        , 2023
Via Numérica   , Archamps    , 3596
Rocho DataCente, Chambéry    , 11457
Ikoula         , Reims       , 5813
RIV54          , Saulnes     , 14372
ORNE THD       , Rombas      , 17349
Vialis         , Woippy      , 13661
REFO Falck     , Falck       , 21216
Enes           , Hombourg    , 21268
Fibragglo      , Forbach     , 16232
La Regie       , Reichshoffe , 14043
AS Dienstleistu, Strasbourg  , 5962
LaFibre.info   , Douai       , 4010
ePlay TV       , Roubaix     , 2951
Vianet         , Le Havre    , 22378
LaFibre.info   , Bordeaux    , 21415
Axione         , Pau         , 11677
TestDebit.info , Marseille   , 4036
Orange         , Marseille   , 4661
SEACOM         , Marseille   , 17389
DFOX           , Nice        , 8195
Andorra Telecom, Andorra     , 2530
Univ Catholique, Louvain     , 4812
Proximus       , Brussels    , 12627
Combell        , Brussels    , 5151
Orange Belgium , Brussels    , 4319
ASP            , Brussels    , 21086
SKSGroup       , Brussels    , 11193
Proximus       , Schaarbeek  , 10986
Cu.be Solutions, Diegem      , 2848
EDPnet         , SintNiklaas , 4320
Nucleus BVBA   , Antwerp     , 2955
VOO            , Liège       , 12306
Join Experience, Kayl        , 5003
Docler Holding , Bettembourg , 5438
POST Luxembourg, Luxembourg  , 1360
Broadcasting C , Luxembourg  , 4769
Eltrona Interd , Luxembourg  , 10779
Datacenter Lux , Luxembourg  , 3271
LuxNetwork     , Hesperange  , 15055
Lab Luxembourg , Contern     , 5515
Visual Online  , Contern     , 6414
SIG-Telecom    , Geneva      , 3228
Interoute VDC  , Geneva      , 10281
Infomaniak     , Carouge     , 15690
Salt           , Lausanne    , 16325
SIL Citycable  , Lausanne    , 7526
Wingo          , Lausanne    , 16522
AlpineDC       , Lausanne    , 3930
Swiss Network  , Lausanne    , 7483
World-Connect  , Lausanne    , 8782
IWB Telekom    , Basel       , 15874
green.ch       , Lupfig      , 16497
Monzoon        , Zweidlen    , 15728
FSIT           , Dietikon    , 5155
netplus.ch     , Sierre      , 9087
GIB-Solutions  , Uitikon     , 10842
iway           , Zurich      , 3188
nexellent      , Zurich      , 6251
Wingo          , Zurich      , 12743
Interoute VDC  , Zurich      , 10266
Glattwerk      , Dübendorf   , 19637
meddin.ch      , Zürich      , 21379
Netstream      , Duebendorf  , 1591
GGA Maur       , Binz        , 3821
Datasource     , Zug         , 3411
Init 7         , Winterthur  , 3026
DC Light       , Linthal     , 15674
Ticinocom      , Locarno     , 2755
BERNARDO.FM    , Chur        , 2755
Azienda Multise, Bellinzona  , 6820
InternetONE    , Lugano      , 9651
GOLINE         , Stabio      , 4492
Mercury Labs   , Mendrisio   , 10492
Wibox          , Val de Reuil, 16920